鄉鎮市區,交易標的,ADDRESS,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標,有無備註欄(Y/N),備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５８２號八樓,16.08,其他,,,1060916,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100421,142.76,3,2,2,有,有,15900000,126229,坡道平面,29.87,1650000,296995,2769522,Y,預售屋、或土地及建物分件登記案件；,RPXUMLNLPHGGFAF56DA,63.69,9.62,0,有
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５６６號四樓,19.11,其他,,,1061228,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100421,165.5,3,2,2,有,有,18240000,120106,坡道平面,29.87,1950000,296995,2769522,Y,預售屋、或土地及建物分件登記案件；,RPRVMLNLPHGGFAF68DA,76.09,12.14,0,有
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５６６號十樓,18.6,其他,,,1061216,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100421,150.57,3,2,2,有,有,17930000,126659,坡道機械,14.93,750000,296995,2769522,Y,預售屋、或土地及建物分件登記案件；,RPSVMLNLPHGGFAF78DA,76.09,12.14,0,有
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５６６號十九樓,18.6,其他,,,1061215,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100421,150.57,3,2,2,有,有,18360000,127249,坡道機械,14.93,1100000,296995,2769522,Y,預售屋、或土地及建物分件登記案件；,RPTVMLNLPHGGFAF88DA,76.09,12.14,0,有
土城區,房地(土地+建物)+車位,新北市土城區中央路四段２７９巷２８號十二樓,17.24,其他,,,1100701,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950817,165.12,3,2,2,有,有,13630000,82546,坡道平面,34.26,0,291706,2760675,N,,RPPQMLTLPHGGFAF58DA,86.34,14.04,0,有
板橋區,房地(土地+建物)+車位,新北市板橋區漢生西路１６９之２號十六樓,7.36,其他,,,1100712,土地1建物1車位1,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090727,83.21,2,2,1,有,有,13800000,184022,坡道機械,14.74,1200000,296723,2768518,N,,RPVOMLTLPHGGFAF98DA,41.09,3.44,0,有
板橋區,房地(土地+建物),新北市板橋區民生路三段３２３號九樓之９,1.35,其他,,,1100701,土地2建物1車位0,九層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,950914,39.33,1,1,1,有,有,5800000,147508,,0,0,296696,2769301,N,,RPVPMLQKPHGGFAF68DA,26.77,0.03,0,有
土城區,房地(土地+建物)+車位,新北市土城區青雲路３５０之１號十樓,12.62,其他,,,1091027,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100603,98.45,2,1,1,有,有,8280000,96872,坡道平面,32.59,1900000,296282,2763030,Y,預售屋、或土地及建物分件登記案件；,RPSWMLPKPHGGFAF98DA,40.15,4.27,0,有
土城區,房地(土地+建物)+車位,新北市土城區青雲路３５０之１號三樓,12.62,其他,,,1081208,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100603,97.39,2,1,1,有,有,8050000,93366,坡道平面,31.52,1900000,296282,2763030,Y,預售屋、或土地及建物分件登記案件；,RPVVMLPKPHGGFAF56DA,40.15,4.27,0,有
土城區,房地(土地+建物)+車位,新北市土城區青雲路３５０之７號六樓,15.12,其他,,,1090930,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100603,111.94,2,1,2,有,有,9520000,90989,坡道平面,32.59,2300000,296282,2763030,Y,預售屋、或土地及建物分件登記案件；,RPWONLPKPHGGFAF68DA,50.45,3.07,0,有
土城區,房地(土地+建物)+車位,新北市土城區青雲路３５０之７號十一樓,15.12,其他,,,1091111,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100603,110.87,2,1,2,有,有,9400000,91367,坡道平面,31.52,2150000,296282,2763030,Y,預售屋、或土地及建物分件登記案件；,RPUPNLPKPHGGFAF58DA,50.45,3.07,0,有
土城區,房地(土地+建物)+車位,新北市土城區青雲路３５２之１號十四樓,15.69,其他,,,1091028,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100603,115.05,2,2,1,有,有,10420000,98472,坡道平面,32.59,2300000,296282,2763030,Y,預售屋、或土地及建物分件登記案件；,RPWOMLPKPHGGFAF58DA,52.35,3.22,0,有
土城區,房地(土地+建物)+車位,新北市土城區青雲路３５２之６號十三樓,18.28,其他,,,1090729,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100603,128.99,2,2,2,有,有,11350000,95436,坡道平面,32.59,2150000,296282,2763030,Y,預售屋、或土地及建物分件登記案件；,RPTRMLPKPHGGFAF58DA,59.74,5.26,0,有
土城區,房地(土地+建物)+車位,新北市土城區青雲路３５２之６號十四樓,18.28,其他,,,1091015,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100603,128.99,2,2,2,有,有,11290000,96369,坡道平面,32.59,2000000,296282,2763030,Y,預售屋、或土地及建物分件登記案件；,RPURMLPKPHGGFAF68DA,59.74,5.26,0,有
土城區,房地(土地+建物)+車位,新北市土城區青雲路３５２之５號十三樓,15.69,其他,,,1090918,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100603,115.05,2,2,1,有,有,10500000,99442,坡道平面,32.59,2300000,296282,2763030,Y,預售屋、或土地及建物分件登記案件；,RPXSMLPKPHGGFAF09DA,52.35,3.22,0,有
樹林區,房地(土地+建物)+車位,新北市樹林區俊英街１１６巷４１弄３３號四樓,21.07,其他,,,1100707,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,840323,122.23,2,2,1,有,有,7800000,63814,坡道平面,0,1300000,293257,2766587,Y,其他增建；,RPUOMLTLPHGGFIF17EA,68.49,7.65,0,有
永和區,房地(土地+建物),新北市永和區文化路１３５巷３２弄７號三樓,32,其他,,,1100710,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,ＲＣ造,621015,99.03,3,2,2,有,無,13300000,134303,,0,0,301533,2767422,N,,RPWNMLKMPHGGFHF98EA,82.43,16.6,0,無
樹林區,房地(土地+建物)+車位,新北市樹林區大義路２４２號三樓,17.17,其他,,,1100704,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980108,201.79,4,2,2,有,有,18680000,101904,坡道平面,33.2,1500000,288231,2759836,Y,其他增建；,RPXNMLKMPHGGFIF56EA,105.68,9.83,0,有
鶯歌區,房地(土地+建物),新北市鶯歌區鶯桃路３９３號五樓,20.5,其他,,,1100713,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,87.01,3,2,1,有,無,4600000,52867,,0,0,283641,2761817,N,,RPPNMLMJQHGGFIF38EA,87.01,0,0,無
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鶯桃路１８２巷９６弄１６號五樓,21.37,其他,,,1100706,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820903,132.77,4,2,2,有,有,7500000,56489,坡道平面,0,0,284306,2761061,N,,RPQNMLMJQHGGFIF48EA,95.8,19.27,0,有
