"鄉鎮市區","交易標的","ADDRESS","土地移轉總面積.平方公尺.","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積.平方公尺.","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價.元.","單價.元.平方公尺.","車位類別","車位移轉總面積.平方公尺.","車位總價.元.","交易標的橫坐標","交易標的縱坐標","有無備註欄.Y.N.","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","AddressNew","Geometry"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路一段６０號十七樓",16.72,"其他","","",1100628,"土地1建物1車位1","十七層","二十層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1080222,114.43,2,1,2,"有","有",8460000,80081,"坡道平面",25.02,1300000,292879,2787805,"N","","RPROMLOJQHGGFEF38DA",52.13,8.59,0,"有","新北市淡水區崁頂里新市三路一段60號","POINT (121.42484290581081 25.198357799208331)"
"淡水區","房地(土地+建物)","新北市淡水區水源街二段９２巷１１之２號五樓",22.59,"其他","","",1100704,"土地1建物1車位0","五層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",981125,99.23,3,0,3,"有","有",7300000,73566,"",0,0,295629,2785085,"N","","RPUPMLNJQHGGFEF68DA",54.22,10.67,0,"有","新北市淡水區學府里水源街二段92巷11之2號","POINT (121.4525779737161 25.17350033203547)"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路一段１０６號十七樓",16.92,"其他","","",1100707,"土地1建物1車位1","十七層","二十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1080222,115.46,2,1,2,"有","有",9050000,82928,"坡道平面",25.02,1550000,292879,2787805,"N","","RPQOMLSLPHGGFEF78DA",53.25,7.89,0,"有","新北市淡水區崁頂里新市三路一段106號","POINT (121.4260788678623 25.198625736112749)"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路一段１１８號十樓",26.91,"其他","","",1100417,"土地1建物1車位1","十層","二十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1080222,178.35,3,2,2,"有","有",13200000,76958,"坡道平面",25.02,1400000,292879,2787805,"N","","RPWQMLNJQHGGFEF98DA",88.7,15.19,0,"有","新北市淡水區崁頂里新市三路一段118號","POINT (121.4257999185117 25.198586904777351)"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路一段８６號十三樓",16.92,"其他","","",1100522,"土地1建物1車位1","十三層","二十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1080222,115.46,2,1,2,"有","有",8820000,82043,"坡道平面",25.02,1400000,292879,2787805,"N","","RPXQMLNJQHGGFEF09DA",53.25,7.89,0,"有","新北市淡水區崁頂里新市三路一段86號","POINT (121.4255510090517 25.198823775961419)"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路一段８２號十一樓",16.92,"其他","","",1100622,"土地1建物1車位1","十一層","二十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1080222,115.46,2,1,2,"有","有",8800000,81822,"坡道平面",25.02,1400000,292879,2787805,"N","","RPQRMLNJQHGGFEF48DA",53.25,7.89,0,"有","新北市淡水區崁頂里新市三路一段82號","POINT (121.42542236263751 25.198874256751221)"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路一段８６號八樓",16.92,"其他","","",1100510,"土地1建物1車位1","八層","二十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1080222,115.46,2,1,2,"有","有",8410000,78616,"坡道平面",25.02,1300000,292879,2787805,"N","","RPRRMLNJQHGGFEF58DA",53.25,7.89,0,"有","新北市淡水區崁頂里新市三路一段86號","POINT (121.4255510090517 25.198823775961419)"
"三重區","房地(土地+建物)+車位","新北市三重區三民街６８號三樓之三",18.21,"其他","","",1100717,"土地1建物1車位1","三層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1050629,174.87,3,2,2,"有","有",20000000,131994,"坡道平面",38.5,2000000,298992,2772800,"N","","RPOPMLLLPHGGFGF18DA",77.43,15.66,0,"有","新北市三重區田安里三民街68號","POINT (121.48569942029791 25.062480498608188)"
"三重區","房地(土地+建物)+車位","新北市三重區集英路２２號十二樓",31.54,"其他","","",1100714,"土地1建物1車位1","十二層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1001027,213.2,4,2,2,"有","有",27280000,127955,"坡道平面",44.45,0,299092,2775334,"N","","RPVOMLMJQHGGFGF78DA",109.02,12.82,0,"有","新北市三重區碧華里集英路22號","POINT (121.48648453476051 25.085288195040039)"
"蘆洲區","房地(土地+建物)","新北市蘆洲區長安街３４７巷２２之３號三樓",23.83,"其他","","",1100703,"土地1建物1車位0","三層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",871209,106.97,3,2,2,"有","有",12050000,112648,"",0,0,296006,2775513,"Y","陽台外推；","RPSOMLRLPHGGFGF09DA",76.08,7.81,0,"有","新北市蘆洲區成功里長安街347巷22之3號","POINT (121.4559614712183 25.08713434373859)"
