"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10005160","三灣鄉","民生街","中山路","10005160 民生街與中山路交叉口","POINT (120.95546575953722 24.654812965046347)"
"10005160","三灣鄉","民生街","中正路","10005160 民生街與中正路交叉口","POINT (120.95646643247994 24.654607381825258)"
"10005160","三灣鄉","文化街","三灣堤防","10005160 文化街與三灣堤防交叉口","POINT (120.95550932269714 24.655368121941308)"
"10005160","三灣鄉","文化街","中正路","10005160 文化街與中正路交叉口","POINT (120.9576537408276 24.656248592398697)"
"10005160","三灣鄉","文化街","文化街1巷","10005160 文化街與文化街1巷交叉口","POINT (120.9576537408276 24.656248592398697)"
"10005160","三灣鄉","文化街","文化街2巷","10005160 文化街與文化街2巷交叉口","POINT (120.95586293522638 24.655513423605669)"
"10005160","三灣鄉","文化街","民有街","10005160 文化街與民有街交叉口","POINT (120.95682696439292 24.655954260480769)"
"10005160","三灣鄉","中正路1巷","中正路","10005160 中正路1巷與中正路交叉口","POINT (120.95567618470818 24.647829477548385)"
"10005160","三灣鄉","親民路","中正路","10005160 親民路與中正路交叉口","POINT (120.95570246289844 24.653028772160155)"
"10005160","三灣鄉","親民路","民族街","10005160 親民路與民族街交叉口","POINT (120.95602784480923 24.653722436341411)"
"10005160","三灣鄉","親民路","親民路1巷","10005160 親民路與親民路1巷交叉口","POINT (120.95647195611593 24.6527780618581)"
"10005160","三灣鄉","親民路","親民路5巷","10005160 親民路與親民路5巷交叉口","POINT (120.95627608197572 24.653648736899754)"
"10005160","三灣鄉","民權街1巷","民權街","10005160 民權街1巷與民權街交叉口","POINT (120.95576846774065 24.654185221171076)"
"10005160","三灣鄉","神桌山道","中豐公路","10005160 神桌山道與中豐公路交叉口","POINT (120.95623611880194 24.598528522473373)"
"10005160","三灣鄉","親民路5巷","親民路","10005160 親民路5巷與親民路交叉口","POINT (120.95627608197572 24.653648736899754)"
"10005160","三灣鄉","民有街","中正路","10005160 民有街與中正路交叉口","POINT (120.9570252541123 24.655642523083998)"
"10005160","三灣鄉","民有街","文化街","10005160 民有街與文化街交叉口","POINT (120.95682696439292 24.655954260480769)"
"10005160","三灣鄉","民有街","四維街","10005160 民有街與四維街交叉口","POINT (120.95631404415792 24.656961643265277)"
"10005160","三灣鄉","民有街","博愛路","10005160 民有街與博愛路交叉口","POINT (120.95756265569207 24.655220358832537)"
"10005160","三灣鄉","親民路4巷","博愛路","10005160 親民路4巷與博愛路交叉口","POINT (120.95700551759057 24.653785836747034)"
"10005160","三灣鄉","親民路4巷","親民路","10005160 親民路4巷與親民路交叉口","POINT (120.95640473539027 24.653464207707088)"
"10005160","三灣鄉","親民路1巷","內山公路","10005160 親民路1巷與內山公路交叉口","POINT (120.95673138534517 24.652146150524459)"
"10005160","三灣鄉","親民路1巷","親民路","10005160 親民路1巷與親民路交叉口","POINT (120.95647195611593 24.6527780618581)"
"10005160","三灣鄉","親民路2巷","內山公路","10005160 親民路2巷與內山公路交叉口","POINT (120.95697614843061 24.652220444418049)"
"10005160","三灣鄉","親民路2巷","親民路","10005160 親民路2巷與親民路交叉口","POINT (120.95655720555067 24.652740342492848)"
"10005160","三灣鄉","親民路2巷","親民路1巷","10005160 親民路2巷與親民路1巷交叉口","POINT (120.95651409115249 24.652524159862139)"
"10005160","三灣鄉","四維街21巷","四維街","10005160 四維街21巷與四維街交叉口","POINT (120.95694644202479 24.657340077982269)"
"10005160","三灣鄉","四維街","六合街13巷","10005160 四維街與六合街13巷交叉口","POINT (120.95884973033083 24.658343536125358)"
"10005160","三灣鄉","四維街","民安街28巷","10005160 四維街與民安街28巷交叉口","POINT (120.95972912429966 24.658781803637396)"
"10005160","三灣鄉","四維街","民享街","10005160 四維街與民享街交叉口","POINT (120.9591239057437 24.6584736383478)"
"10005160","三灣鄉","四維街","民治街","10005160 四維街與民治街交叉口","POINT (120.95786141587166 24.657828932359394)"
"10005160","三灣鄉","四維街","民富街","10005160 四維街與民富街交叉口","POINT (120.95704290960271 24.657389226831413)"
"10005160","三灣鄉","四維街","民樂街","10005160 四維街與民樂街交叉口","POINT (120.95840242373288 24.658105120454991)"
"10005160","三灣鄉","民富街","四維街","10005160 民富街與四維街交叉口","POINT (120.95704290960271 24.657389226831413)"
"10005160","三灣鄉","文化街1巷","中正路","10005160 文化街1巷與中正路交叉口","POINT (120.9576537408276 24.656248592398697)"
"10005160","三灣鄉","文化街1巷","民富街","10005160 文化街1巷與民富街交叉口","POINT (120.95732243867963 24.656860890417818)"
"10005160","三灣鄉","十股農路","中豐公路","10005160 十股農路與中豐公路交叉口","POINT (120.95778440332765 24.61298149649889)"
"10005160","三灣鄉","大河農路","中豐公路","10005160 大河農路與中豐公路交叉口","POINT (120.95782193473451 24.600900815320415)"
"10005160","三灣鄉","民治街","中正路","10005160 民治街與中正路交叉口","POINT (120.95830072659737 24.656621878496935)"
"10005160","三灣鄉","民治街","四維街","10005160 民治街與四維街交叉口","POINT (120.95786141587166 24.657828932359394)"
"10005160","三灣鄉","民治街","民治街16巷","10005160 民治街與民治街16巷交叉口","POINT (120.95813010631946 24.657051282290922)"
"10005160","三灣鄉","民治街","信義街","10005160 民治街與信義街交叉口","POINT (120.95861694441646 24.656015533989773)"
"10005160","三灣鄉","民治街","博愛路","10005160 民治街與博愛路交叉口","POINT (120.95861694441646 24.656015533989773)"
"10005160","三灣鄉","民治街16巷","民治街","10005160 民治街16巷與民治街交叉口","POINT (120.95813010631946 24.657051282290922)"
"10005160","三灣鄉","民樂街","六合街","10005160 民樂街與六合街交叉口","POINT (120.95869133993347 24.657517819991426)"
"10005160","三灣鄉","民樂街","四維街","10005160 民樂街與四維街交叉口","POINT (120.95840242373288 24.658105120454991)"
"10005160","三灣鄉","博愛路","民享街","10005160 博愛路與民享街交叉口","POINT (120.96000610649674 24.65675905208866)"
"10005160","三灣鄉","博愛路","民治街","10005160 博愛路與民治街交叉口","POINT (120.95861694441646 24.656015533989773)"
"10005160","三灣鄉","博愛路","和平街","10005160 博愛路與和平街交叉口","POINT (120.95977259662811 24.656632574134051)"
"10005160","三灣鄉","博愛路","信義街","10005160 博愛路與信義街交叉口","POINT (120.95861694441646 24.656015533989773)"
"10005160","三灣鄉","中正路309巷","中正路","10005160 中正路309巷與中正路交叉口","POINT (120.95887122682575 24.656905387973325)"
