"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"09007020","北竿鄉","聚英路","中央大道","09007020 聚英路與中央大道交叉口","POINT (119.94684172716404 26.156830149491839)"
"09007020","北竿鄉","環山路","聚英路","09007020 環山路與聚英路交叉口","POINT (119.95121443959476 26.1572297569478)"
"09007020","北竿鄉","環島北路","北竿大道","09007020 環島北路與北竿大道交叉口","POINT (119.97517758507752 26.220810446944597)"
"09007020","北竿鄉","北竿大道","中山路","09007020 北竿大道與中山路交叉口","POINT (119.9969810446396 26.22259463533419)"
"09007020","北竿鄉","北竿大道","午沙路","09007020 北竿大道與午沙路交叉口","POINT (119.99214952957721 26.220538692506693)"
"09007020","北竿鄉","北竿大道","圓環","09007020 北竿大道與圓環交叉口","POINT (119.98322587257599 26.221786141217478)"
"09007020","北竿鄉","北竿大道","壁山路","09007020 北竿大道與壁山路交叉口","POINT (119.98335303311603 26.221860194092756)"
"09007020","北竿鄉","壁山路","圓環","09007020 壁山路與圓環交叉口","POINT (119.98323439635033 26.221847645852222)"
"09007020","北竿鄉","壁山路","環島東路","09007020 壁山路與環島東路交叉口","POINT (119.99504381232214 26.230370021759143)"
"09007020","北竿鄉","午沙路","北竿大道","09007020 午沙路與北竿大道交叉口","POINT (119.99214952957721 26.220538692506693)"
"09007020","北竿鄉","環島東路","壁山路","09007020 環島東路與壁山路交叉口","POINT (119.99504381232214 26.230370021759143)"
"09007020","北竿鄉","環島東路","環島北路","09007020 環島東路與環島北路交叉口","POINT (119.99499111564751 26.234022668611317)"
"09007020","北竿鄉","中山路","北竿大道","09007020 中山路與北竿大道交叉口","POINT (119.9969810446396 26.22259463533419)"
"09007020","北竿鄉","中正路","中山路","09007020 中正路與中山路交叉口","POINT (119.99853984313927 26.223722649580679)"
"09007020","北竿鄉","中正路","復興路","09007020 中正路與復興路交叉口","POINT (119.99825851182095 26.224048759942377)"
"09007020","北竿鄉","中正路","塘后路","09007020 中正路與塘后路交叉口","POINT (119.99853984313927 26.223722649580679)"
"09007020","北竿鄉","中正路","環島東路","09007020 中正路與環島東路交叉口","POINT (119.99737345212316 26.225178391169891)"
"09007020","北竿鄉","塘后路","中山路","09007020 塘后路與中山路交叉口","POINT (119.99853984313927 26.223722649580679)"
"09007020","北竿鄉","環保路","中央大道","09007020 環保路與中央大道交叉口","POINT (119.95209757204543 26.160928173896139)"
"09007020","北竿鄉","環保路","介壽路","09007020 環保路與介壽路交叉口","POINT (119.95209757204543 26.160928173896139)"
"09007020","北竿鄉","環保路","復興路","09007020 環保路與復興路交叉口","POINT (119.95200367652853 26.160957320024352)"
"09007040","東引鄉","南澳路","中清路","09007040 南澳路與中清路交叉口","POINT (120.48558330852291 26.369195945036893)"
"09007040","東引鄉","南澳路","北澳路","09007040 南澳路與北澳路交叉口","POINT (120.48836547009046 26.368746510643007)"
"09007040","東引鄉","南澳路","燈塔路","09007040 南澳路與燈塔路交叉口","POINT (120.49072795403197 26.36470219554991)"
"09007040","東引鄉","中清路","中正路","09007040 中清路與中正路交叉口","POINT (120.48653176862626 26.3668900653243)"
"09007040","東引鄉","中正路","南澳路","09007040 中正路與南澳路交叉口","POINT (120.49072795403197 26.36470219554991)"
"09007040","東引鄉","中正路","燈塔路","09007040 中正路與燈塔路交叉口","POINT (120.49072795403197 26.36470219554991)"
"09007040","東引鄉","北澳路","燈塔路","09007040 北澳路與燈塔路交叉口","POINT (120.49094046203277 26.36452845192656)"
"09007040","東引鄉","燈塔路","北澳路","09007040 燈塔路與北澳路交叉口","POINT (120.49094046203277 26.36452845192656)"
